MRJD, smoothRV(m/s), error(m/s)
16166.849144, -0.21370, 1.1759 
16166.859549, -0.21370, 1.1789 
16166.870278, -0.21370, 1.2172 
16166.927025, -0.21370, 1.1622 
16166.937662, -0.21370, 1.1118 
16166.948194, -0.21370, 1.1280 
16167.810116, -0.21370, 0.9904 
16167.821412, -0.21370, 1.0248 
16167.832049, -0.21370, 1.1009 
16167.842396, -0.56922, 0.9273 
16168.835938, -0.32647, 0.9598 
16168.846620, -0.80446, 1.0443 
16168.857072, -0.80446, 1.0200 
16168.867743, -0.80446, 1.0297 
16168.924271, -0.80446, 0.9961 
16168.935058, -0.80446, 1.1137 
16168.945799, -0.80446, 1.0877 
16171.756898, -1.66555, 0.9773 
16171.767558, -1.66555, 1.0672 
16171.777847, -1.66555, 1.0066 
16171.787766, -1.66555, 0.9892 
16172.837106, +0.30360, 1.0121 
16172.847558, +0.30360, 0.9644 
16172.858380, +0.30360, 1.0527 
16172.868924, +0.30360, 0.9155 
16175.799294, -2.52813, 0.9859 
16175.809699, -2.52813, 0.9810 
16175.819884, -2.52813, 0.9710 
16175.830417, -2.52813, 0.9938 
16178.864711, -0.37977, 0.9786 
16178.875243, -0.37977, 1.1352 
16178.886100, -0.37977, 1.0861 
16178.896620, -0.37977, 1.0869 
16179.812870, -0.37977, 0.9227 
16179.823391, -0.37977, 0.9605 
16179.833252, -0.37977, 1.0075 
16179.842465, -0.37977, 1.0752 
16182.809306, -1.43149, 1.0188 
16182.817870, -1.43149, 0.9633 
16182.826539, -1.43149, 0.9532 
16182.836250, -1.43149, 0.9274 
16184.814560, +0.76397, 1.1017 
16184.822847, +0.76397, 1.0832 
16184.831505, +0.76397, 1.0365 
16184.840127, +0.76397, 1.0866 
16186.744132, +0.08686, 0.9505 
16186.751898, +0.08686, 0.9937 
16186.759549, +0.08686, 1.0109 
16186.767361, +0.08686, 1.0158 
16186.776678, +0.08686, 1.0988 
16186.784086, +0.08686, 1.1013 
16186.791447, +0.08686, 1.0828 
16186.798762, +0.08686, 1.0714 
16187.799803, -0.36928, 1.0775 
16187.808715, -0.36928, 1.0163 
16187.817882, -0.36928, 0.9659 
16187.827488, -0.36928, 1.0092 
16189.761111, -0.81016, 1.0246 
16189.771458, -0.81016, 1.0095 
16189.781759, -0.81016, 0.9621 
16189.792616, -0.29738, 1.1052 
16190.786134, -1.72802, 1.1607 
16190.796863, -1.92420, 1.2255 
16190.807581, -1.92420, 1.2248 
16190.818218, -1.92420, 1.2920 
16192.794583, +0.77484, 1.0685 
16192.805289, +0.77484, 1.1002 
16192.815868, +0.77484, 1.0074 
16192.826609, +0.77484, 1.0239 
16194.779167, -0.23832, 1.1298 
16194.789734, -0.23832, 1.0978 
16194.800162, -0.23832, 1.0559 
16194.811065, -0.23832, 1.0982 
16196.844954, -0.21279, 0.9859 
16196.853877, -0.21279, 1.0834 
16196.863079, -0.21279, 1.0605 
16196.872836, -0.21279, 1.0541 
16196.886736, -0.21279, 0.9279 
16196.897222, -0.21279, 1.0519 
16196.908102, -0.21279, 0.9554 
16196.916273, -0.21279, 1.1411 
16197.666019, -0.21279, 1.0230 
16197.675648, -0.21279, 0.9477 
16197.685891, -0.21279, 1.0664 
16197.718090, -0.21279, 1.2318 
16197.749942, -0.21279, 0.9762 
16197.760440, -0.21279, 0.9673 
16197.771192, -0.21279, 1.0513 
16198.816551, -0.87558, 1.1034 
16198.827315, -0.87558, 1.0196 
16198.837836, -0.87558, 1.0269 
16198.848380, -0.87558, 1.0959 
16199.718519, -0.87558, 0.8830 
16199.729213, -0.87558, 0.9104 
16199.739676, -0.87558, 0.9743 
16199.750382, -0.87558, 0.8805 
16199.767616, -0.91997, 0.9403 
16199.778056, -1.03997, 1.0136 
16199.788796, -1.14020, 0.9163 
16199.799028, -1.19241, 1.0159 
16200.762106, -1.66599, 1.0136 
16200.772627, -1.70663, 0.9468 
16200.783264, -1.88004, 1.0116 
16200.793877, -2.00488, 1.0347 
16201.640405, -2.09263, 0.9090 
16201.650833, -2.07797, 0.9331 
16201.661262, -2.18903, 0.9529 
16201.671771, -2.03424, 0.9845 
16201.737778, -2.11622, 1.0741 
16201.748704, -2.01797, 1.0275 
16201.759491, -1.94745, 1.0012 
16201.769826, -2.05753, 1.0176 
16202.642650, -1.78742, 0.9927 
16202.653194, -1.75666, 0.8842 
16202.664051, -1.64985, 1.0128 
16202.674537, -1.74320, 0.9250 
16202.745891, -1.47727, 0.9206 
16202.756794, -1.42289, 0.9811 
16202.767303, -1.39177, 0.9945 
16202.777778, -1.30755, 0.9638 
16203.631181, -1.50065, 0.9094 
16203.641771, -1.53601, 0.9590 
16203.652708, -1.57492, 0.9633 
16203.663032, -1.49012, 0.9300 
16203.717315, -1.54036, 1.0173 
16203.728715, -1.48154, 1.0006 
16203.739097, -1.56230, 0.8942 
16203.749421, -1.59770, 0.9888 
16204.630382, -1.48457, 0.9939 
16204.641447, -1.52906, 1.0111 
16204.651852, -1.28460, 0.9865 
16204.662106, -1.32928, 0.9509 
16204.714838, -1.31805, 1.0132 
16204.723935, -1.39325, 1.0836 
16204.733218, -1.41756, 0.9576 
16204.743970, -1.52483, 0.9651 
16205.635266, -1.36115, 1.3820 
16205.645995, -1.26415, 1.5176 
16210.629097, +0.47028, 1.1310 
16210.639792, +0.47028, 1.0615 
16210.650498, +0.34031, 0.9535 
16210.660856, +0.34031, 1.0382 
16210.676678, +0.25219, 1.0149 
16210.687118, +0.24492, 1.0234 
16210.697766, +0.05324, 0.9902 
16210.708519, +0.08529, 0.9749 
16211.628912, +0.08529, 1.0543 
16211.639861, -0.01624, 1.0698 
16211.650417, -0.03356, 0.9918 
16211.660995, -0.08872, 0.9345 
16211.673356, -0.24757, 1.0402 
16211.684063, -0.33732, 1.0473 
16211.694606, -0.56546, 1.0477 
16211.705231, -0.52631, 1.0702 
16212.638148, -0.80368, 1.1118 
16212.645868, -1.10138, 1.1367 
16212.653576, -1.03948, 1.0628 
16212.661030, -1.06969, 1.0435 
16212.685428, -1.31723, 1.1412 
16212.693206, -1.24829, 1.0485 
16212.700961, -1.15616, 1.0725 
16212.709120, -1.22469, 0.9819 
16213.609618, -1.14080, 1.0167 
16213.620417, -1.14080, 0.9554 
16213.630903, -1.14080, 0.9575 
16213.641331, -1.20879, 1.0064 
16213.683229, -1.10407, 0.9970 
16213.693079, -1.17397, 1.0056 
16213.701979, -1.12588, 1.0486 
16213.710602, -1.33768, 0.9930 
16214.639398, -1.08071, 1.0271 
16214.649630, -0.91738, 1.0193 
16214.660174, -1.02337, 1.0194 
16214.670637, -1.02810, 0.9820 
16214.686794, -0.84782, 0.9973 
16214.696655, -0.84995, 0.9726 
16214.706296, -0.87278, 0.9937 
16214.715706, -0.93467, 0.9951 
16215.605081, -0.93467, 0.9901 
16215.615579, -0.93467, 0.9844 
16215.625972, -0.93467, 0.9879 
16215.636192, -0.93467, 0.9825 
16215.658542, -0.96229, 0.9087 
16215.668449, -0.98169, 1.0315 
16215.678750, -1.03269, 0.9410 
16215.688819, -1.07681, 0.9422 
16216.648993, -1.31703, 1.0905 
16216.659676, -1.16703, 1.0314 
16216.670231, -1.28765, 0.9934 
16216.681215, -1.52027, 0.9986 
16217.649294, -1.43490, 1.1156 
16217.659687, -1.48991, 1.1532 
16217.670625, -1.18702, 1.1383 
16217.679792, -1.16236, 1.2432 
16217.694850, -0.90436, 1.0015 
16217.703229, -0.78536, 1.0229 
16217.713148, -0.81968, 1.0624 
16217.724537, -0.82077, 1.1162 
16218.648681, -0.82077, 1.0493 
16218.658148, -0.77421, 0.9953 
16218.667407, -0.68142, 0.9842 
