MRJD, smoothRV(m/s), error(m/s)
16166.849144, -0.82338, 1.1759 
16166.859549, -0.83995, 1.1789 
16166.870278, -0.51523, 1.2172 
16166.927025, -0.88240, 1.1622 
16166.937662, +0.09464, 1.1118 
16166.948194, -0.61130, 1.1280 
16167.810116, -0.24967, 0.9904 
16167.821412, -0.46466, 1.0248 
16167.832049, -0.88673, 1.1009 
16167.842396, -0.49116, 0.9273 
16168.835938, -0.82991, 0.9598 
16168.846620, -0.28778, 1.0443 
16168.857072, -0.43089, 1.0200 
16168.867743, -0.61299, 1.0297 
16168.924271, -0.87069, 0.9961 
16168.935058, -1.05450, 1.1137 
16168.945799, -1.05815, 1.0877 
16171.756898, -0.82444, 0.9773 
16171.767558, -0.60987, 1.0672 
16171.777847, -0.54839, 1.0066 
16171.787766, -0.92036, 0.9892 
16172.837106, -1.00507, 1.0121 
16172.847558, -1.54472, 0.9644 
16172.858380, -1.76895, 1.0527 
16172.868924, -2.20936, 0.9155 
16175.799294, -2.47288, 0.9859 
16175.809699, -1.45567, 0.9810 
16175.819884, -0.92450, 0.9710 
16175.830417, -0.50500, 0.9938 
16178.864711, -0.60389, 0.9786 
16178.875243, -0.33634, 1.1352 
16178.886100, +0.28110, 1.0861 
16178.896620, +0.18498, 1.0869 
16179.812870, -0.18789, 0.9227 
16179.823391, -0.77244, 0.9605 
16179.833252, -0.85679, 1.0075 
16179.842465, -0.44043, 1.0752 
16182.809306, -0.52556, 1.0188 
16182.817870, -0.53595, 0.9633 
16182.826539, -0.31693, 0.9532 
16182.836250, +0.01935, 0.9274 
16184.814560, +0.44938, 1.1017 
16184.822847, +0.35321, 1.0832 
16184.831505, +0.13887, 1.0365 
16184.840127, +0.39338, 1.0866 
16186.744132, +0.06258, 0.9505 
16186.751898, +0.23281, 0.9937 
16186.759549, +0.17575, 1.0109 
16186.767361, -0.20473, 1.0158 
16186.776678, -0.34628, 1.0988 
16186.784086, -0.53713, 1.1013 
16186.791447, -0.19295, 1.0828 
16186.798762, -0.43091, 1.0714 
16187.799803, -0.78471, 1.0775 
16187.808715, -0.43792, 1.0163 
16187.817882, -0.38253, 0.9659 
16187.827488, -0.16637, 1.0092 
16189.761111, -1.13725, 1.0246 
16189.771458, -1.42170, 1.0095 
16189.781759, -1.28439, 0.9621 
16189.792616, -1.13003, 1.1052 
16190.786134, -0.81903, 1.1607 
16190.796863, -1.03029, 1.2255 
16190.807581, -0.16910, 1.2248 
16190.818218, +0.70154, 1.2920 
16192.794583, +0.60108, 1.0685 
16192.805289, +0.07310, 1.1002 
16192.815868, -0.10608, 1.0074 
16192.826609, -0.22032, 1.0239 
16194.779167, +0.03155, 1.1298 
16194.789734, -0.41615, 1.0978 
16194.800162, +0.04209, 1.0559 
16194.811065, +0.40210, 1.0982 
16196.844954, +0.32721, 0.9859 
16196.853877, +0.56587, 1.0834 
16196.863079, +0.01081, 1.0605 
16196.872836, +0.02354, 1.0541 
16196.886736, -0.51111, 0.9279 
16196.897222, -0.81283, 1.0519 
16196.908102, -0.88873, 0.9554 
16196.916273, -1.17895, 1.1411 
16197.666019, -0.93001, 1.0230 
16197.675648, -0.60913, 0.9477 
16197.685891, -0.60943, 1.0664 
16197.718090, -0.68974, 1.2318 
16197.749942, -0.64697, 0.9762 
16197.760440, -0.67554, 0.9673 
16197.771192, -0.83748, 1.0513 
16198.816551, -1.33607, 1.1034 
16198.827315, -1.10300, 1.0196 
16198.837836, -0.77181, 1.0269 
16198.848380, -0.99335, 1.0959 
16199.718519, -0.75983, 0.8830 
16199.729213, -0.55825, 0.9104 
16199.739676, -0.41510, 0.9743 
16199.750382, -0.58721, 0.8805 
16199.767616, -1.11169, 0.9403 
16199.778056, -1.18065, 1.0136 
16199.788796, -1.63008, 0.9163 
16199.799028, -2.14752, 1.0159 
16200.762106, -2.17844, 1.0136 
16200.772627, -2.48671, 0.9468 
16200.783264, -2.07944, 1.0116 
16200.793877, -2.15216, 1.0347 
16201.640405, -1.97479, 0.9090 
16201.650833, -1.73982, 0.9331 
16201.661262, -2.00682, 0.9529 
16201.671771, -1.77343, 0.9845 
16201.737778, -2.35287, 1.0741 
16201.748704, -1.83409, 1.0275 
16201.759491, -2.23986, 1.0012 
16201.769826, -1.98887, 1.0176 
16202.642650, -1.65707, 0.9927 
16202.653194, -1.91244, 0.8842 
16202.664051, -1.71038, 1.0128 
16202.674537, -1.82124, 0.9250 
16202.745891, -1.41001, 0.9206 
16202.756794, -1.43806, 0.9811 
16202.767303, -1.56106, 0.9945 
16202.777778, -1.04545, 0.9638 
16203.631181, -0.82561, 0.9094 
16203.641771, -0.77648, 0.9590 
16203.652708, -0.61881, 0.9633 
16203.663032, -1.28148, 0.9300 
16203.717315, -1.38992, 1.0173 
16203.728715, -1.76686, 1.0006 
16203.739097, -1.93439, 0.8942 
16203.749421, -2.32427, 0.9888 
16204.630382, -2.41581, 0.9939 
16204.641447, -2.15341, 1.0111 
16204.651852, -1.98365, 0.9865 
16204.662106, -1.75731, 0.9509 
16204.714838, -0.90074, 1.0132 
16204.723935, -0.50049, 1.0836 
16204.733218, -0.22627, 0.9576 
16204.743970, -0.15484, 0.9651 
16205.635266, +0.31617, 1.3820 
16205.645995, +0.70665, 1.5176 
16210.629097, +0.34282, 1.1310 
16210.639792, +0.18590, 1.0615 
16210.650498, +0.26161, 0.9535 
16210.660856, +0.97193, 1.0382 
16210.676678, +0.96480, 1.0149 
16210.687118, +0.42272, 1.0234 
16210.697766, +0.18841, 0.9902 
16210.708519, +0.38974, 0.9749 
16211.628912, +0.14516, 1.0543 
16211.639861, -0.57231, 1.0698 
16211.650417, -0.75542, 0.9918 
16211.660995, -0.49979, 0.9345 
16211.673356, -0.45601, 1.0402 
16211.684063, -0.75017, 1.0473 
16211.694606, -1.21359, 1.0477 
16211.705231, -0.83416, 1.0702 
16212.638148, -1.39251, 1.1118 
16212.645868, -1.37092, 1.1367 
16212.653576, -1.08254, 1.0628 
16212.661030, -1.22372, 1.0435 
16212.685428, -1.00064, 1.1412 
16212.693206, -1.00457, 1.0485 
16212.700961, -1.15620, 1.0725 
16212.709120, -1.47479, 0.9819 
16213.609618, -1.74998, 1.0167 
16213.620417, -1.40681, 0.9554 
