MRJD, smoothRV(m/s), error(m/s)
16472.935613, -1.87472, 0.8703 
16472.958426, -1.97101, 0.8389 
16473.929757, -2.49304, 0.8942 
16473.949514, -2.63227, 0.8916 
16475.896146, -2.95437, 0.7947 
16475.930868, -3.42026, 0.8568 
16476.890359, -3.39248, 0.8770 
16476.933530, -3.47239, 0.9258 
16477.872593, -3.04970, 0.8992 
16477.921042, -2.29948, 0.9463 
16480.874502, -1.96476, 0.8372 
16481.832384, -1.48988, 0.8318 
16481.944711, -1.24673, 0.9569 
16482.829942, -0.63186, 1.0281 
16482.903704, -0.85527, 0.9535 
16485.815127, -1.83175, 0.9046 
16485.882315, -1.90672, 0.8240 
16486.833831, -2.12185, 0.8190 
16486.859641, -2.39067, 0.8216 
16486.924884, -2.92316, 0.8415 
16486.935833, -2.41230, 0.8588 
16487.818380, -2.17535, 0.8639 
16487.869433, -2.17347, 0.9551 
16487.936100, -2.04494, 0.8917 
16488.809363, -2.13407, 0.7981 
16488.904306, -2.44697, 0.8580 
16488.939780, -2.94970, 0.8591 
16492.798623, -3.16101, 0.9641 
16492.928588, -3.15323, 0.8349 
16496.805833, -3.33446, 0.8711 
16496.875810, -3.52413, 0.8384 
16496.912743, -3.39602, 0.9319 
16496.947396, -3.46473, 0.8885 
16497.780544, -3.84542, 0.8454 
16497.843924, -4.28199, 0.8696 
16498.821262, -4.59695, 0.9205 
16498.873530, -4.49144, 1.0718 
16498.907164, -4.28800, 0.9911 
16500.790509, -4.03749, 0.9413 
16500.856088, -3.73910, 0.9148 
16500.894606, -3.84879, 1.0152 
16501.827778, -3.44290, 1.0459 
16501.846667, -3.42116, 1.0499 
16501.913241, -3.78147, 1.0429 
16502.819537, -4.08647, 1.0512 
16502.843472, -3.92267, 0.9980 
16504.782222, -3.57927, 0.9210 
16504.798426, -3.41704, 0.8881 
16504.840799, -3.23961, 0.9402 
16505.869155, -3.09706, 0.9351 
16505.943843, -3.11358, 0.8347 
16506.806563, -3.08669, 0.8731 
16506.899954, -2.95990, 0.8840 
16506.919873, -2.98875, 0.8923 
16508.772361, -3.07096, 0.8506 
16508.839317, -2.64743, 1.0089 
16509.761146, -2.60345, 0.9267 
16509.850671, -2.63912, 0.9033 
16509.913021, -2.14194, 0.9285 
16509.923773, -1.97806, 0.9530 
16509.934352, -1.63484, 0.9513 
16509.945127, -1.50065, 1.0188 
16510.822616, -1.35757, 0.8906 
16510.834850, -0.80439, 0.9772 
16510.880590, -0.84053, 0.9939 
16510.891285, -0.19959, 0.9088 
16510.951551, -0.20224, 0.9382 
16511.791481, +0.23384, 1.2013 
16511.799236, +0.67593, 2.0821 
16512.874630, +0.53042, 0.9317 
16512.885069, +0.67694, 0.9536 
16512.918715, +0.00760, 0.9436 
16513.833275, -0.00636, 0.9005 
16513.934282, -0.52207, 0.9135 
16514.751042, -0.62090, 0.8807 
16514.947650, -0.38398, 0.8440 
16515.743866, -0.61226, 0.8073 
16515.836852, -0.73056, 0.8769 
16516.781782, -0.70773, 0.9730 
16516.821944, -0.82481, 0.9135 
16516.846748, -1.16845, 1.0460 
16516.857870, -1.53360, 0.9099 
16516.888345, -1.61955, 0.9041 
16516.909549, -1.98770, 0.9454 
16516.918762, -1.88753, 1.0351 
16517.747662, -1.58438, 0.9808 
16517.859282, -1.53299, 0.9240 
16517.923044, -1.30635, 0.8199 
16517.934444, -1.86057, 0.8668 
16518.730787, -1.37856, 0.8074 
16518.802083, -1.52165, 0.8351 
16518.842222, -1.72421, 1.0021 
16518.849340, -2.02093, 0.9727 
16518.901065, -2.38056, 0.9145 
16518.908762, -1.86661, 0.9421 
16518.918264, -1.75998, 0.9338 
16519.776065, -1.87831, 0.8518 
16519.836400, -2.16769, 0.8602 
16519.862731, -2.03966, 1.0359 
16519.870799, -2.11198, 1.0126 
16519.938299, -1.97939, 0.9453 
16520.727882, -2.05129, 0.8952 
16520.845150, -2.10845, 0.9665 
16520.937269, -2.13721, 0.8946 
16521.719190, -2.00311, 0.9001 
16521.762616, -2.28686, 0.9869 
16521.769965, -2.69199, 0.9725 
16521.869294, -2.82626, 0.9453 
16521.911863, -2.90622, 1.0642 
16522.744294, -3.27946, 0.8728 
16522.792130, -3.07369, 0.8674 
16522.846794, -2.95530, 0.9356 
16522.928669, -3.15694, 0.8556 
16523.726204, -3.15487, 0.9130 
16523.776701, -2.98291, 0.8934 
16523.820961, -2.39159, 0.9116 
16523.888681, -2.20456, 0.9366 
16524.716227, -2.02827, 0.9765 
16524.795359, -1.70770, 0.9894 
16524.880174, -1.54138, 1.0173 
16524.934433, -1.65060, 1.1262 
16525.712986, -1.70607, 0.8948 
16525.760382, -1.78911, 0.9120 
16525.826771, -1.75131, 0.8758 
16525.880208, -1.72728, 0.9077 
16526.730231, -1.99149, 0.8660 
16526.781782, -2.35385, 0.9827 
16526.838449, -2.99922, 0.9693 
16526.923738, -3.19642, 0.9576 
16529.729028, -3.25177, 0.9468 
16529.785127, -3.26352, 0.8796 
16529.829178, -3.37392, 0.9569 
16529.908079, -3.30053, 0.8899 
16530.689062, -2.79192, 1.0243 
16530.777222, -2.95682, 0.9413 
16530.864097, -3.09347, 0.9366 
16531.705810, -3.23823, 0.9589 
16531.805891, -3.20239, 0.8704 
16531.899132, -3.02822, 0.9272 
16532.712604, -3.04631, 0.9778 
16532.766539, -3.05434, 1.0191 
16532.894167, -3.17293, 0.9274 
16533.689086, -3.24290, 0.9267 
16533.776389, -3.99089, 1.1392 
16533.875359, -4.00249, 1.0713 
16537.710961, -3.11274, 1.0432 
16537.805127, -3.25592, 1.1727 
16537.918484, -3.08532, 1.1867 
16537.931134, -3.78617, 1.2484 
16538.686262, -3.69072, 1.0200 
16538.803958, -4.01528, 1.0109 
16538.923715, -4.28490, 1.2190 
16539.715266, -4.24507, 2.1427 
16539.803796, -4.01320, 1.3146 
16539.935000, -3.33375, 1.9410 
16540.824074, -2.78836, 1.2842 
16541.733634, -2.49710, 1.3661 
16543.725243, -3.17567, 1.0987 
16543.803958, -2.81354, 1.1789 
16543.910301, -2.22526, 1.1216 
16544.703854, -1.79835, 1.1078 
16544.751968, -1.44974, 1.1878 
16544.866678, -1.69548, 1.1228 
16544.917998, -1.21455, 1.1746 
16545.662685, -1.36154, 1.0962 
16545.761424, -2.20832, 1.1784 
16545.834734, -2.93354, 1.0550 
16545.925579, -3.06416, 1.0821 
16546.675868, -2.41377, 1.1082 
16546.750671, -2.54357, 1.0591 
16546.867662, -1.87516, 1.2380 
16546.924549, -1.47300, 1.1224 
16547.825938, -0.93490, 1.2371 
16547.865382, -0.53304, 1.1236 
16548.817616, -0.47900, 1.2399 
16548.845556, -0.84411, 1.3114 
16550.657396, -1.88182, 1.1625 
16550.691748, -2.30892, 0.9832 
16550.720382, -2.15724, 1.0407 
16550.743970, -2.44077, 1.0035 
16550.767546, -2.63586, 1.1243 
16551.641632, -2.68687, 1.0695 
16551.721725, -2.83364, 1.1042 
16551.777338, -2.20275, 1.2257 
16551.910833, -2.68424, 1.0439 
16554.655208, -2.63939, 1.0923 
16554.728542, -2.60459, 1.1679 
16554.833947, -2.24514, 1.1020 
16555.666273, -1.46949, 1.1456 
16555.714282, -1.81300, 1.2174 
16556.635046, -0.88164, 1.0358 
16556.650081, -1.22819, 1.1687 
16556.852141, -1.90274, 1.1478 
16556.866146, -1.80755, 1.1855 
16557.628924, -1.96089, 1.1700 
16557.643414, -2.05299, 1.3719 
16557.658090, -2.31337, 1.2585 
16557.671979, -1.65290, 1.2795 
16557.686123, -0.93889, 1.3443 
16557.700938, -0.71121, 1.4761 
16558.626632, -0.97538, 1.1664 
16558.637025, -0.98758, 1.2050 
16558.707523, -1.55040, 1.2049 
16558.715208, -2.48792, 1.2053 
16558.808241, -2.72387, 1.4056 
16558.817442, -2.29372, 1.4659 
16558.834005, -1.94695, 1.1411 
16558.843773, -1.66952, 1.3106 
16559.634005, -0.84291, 1.3152 
16559.641713, -0.65081, 1.2349 
16559.688958, -1.29193, 1.2399 
16559.696400, -2.02199, 1.2210 
16559.745255, -1.64530, 1.2287 
16559.753507, -1.91345, 1.2533 
16559.765579, -2.56250, 1.1956 
16559.774097, -1.81886, 1.2303 
16560.626505, -0.55498, 1.4184 
16560.633623, -0.72135, 1.4134 
16560.707187, -1.24004, 1.3803 
16560.714618, -0.96219, 1.4773 
16560.772477, -0.66089, 2.0764 
16560.785984, -0.99260, 1.8048 
16560.845440, -1.28704, 1.3416 
16560.852697, -0.86550, 1.4467 
16561.602569, -1.18578, 1.1474 
16561.613796, -0.99059, 1.1791 
16561.800289, -1.02863, 1.2121 
16561.807836, -0.94141, 1.2527 
16561.863391, -0.49981, 1.3063 
16561.872662, -0.60327, 1.2723 
16562.635012, -0.26561, 1.2721 
16562.644687, -0.64315, 1.2414 
16562.817176, -0.92882, 1.2595 
16562.825880, -0.89149, 1.4419 
16562.903461, -2.00678, 1.2865 
16562.914294, -2.20340, 1.2235 
16563.607431, -2.26283, 1.1491 
16563.618495, -2.17784, 1.1060 
16563.653623, -1.80615, 1.1649 
16563.661470, -1.99348, 1.0325 
16563.746065, -1.95166, 1.2227 
16563.755243, -2.56597, 1.2509 
16563.884456, -2.80535, 1.1836 
16563.892882, -3.31197, 1.1432 
16564.674375, -3.63971, 1.3114 
16564.735729, -4.22531, 1.1689 
16564.743461, -3.58068, 1.2724 
16564.801215, -3.12150, 1.3003 
16564.808843, -3.03277, 1.2599 
16565.621169, -2.11611, 1.3156 
16565.631181, -2.49571, 1.3659 
16565.706250, -2.52765, 1.3296 
16565.713414, -3.00805, 1.2881 
16567.688252, -3.30245, 1.2098 
16567.702477, -2.89716, 1.2192 
16567.784919, -4.24831, 1.2712 
16567.795428, -3.93374, 1.2766 
16568.599572, -3.20810, 1.1552 
16568.609444, -3.18548, 1.2284 
16568.631481, -2.68055, 1.3054 
16568.640891, -3.01250, 1.1697 
16568.823449, -3.05064, 1.2667 
16568.833056, -3.25360, 1.2727 
16569.611343, -3.28674, 1.0900 
16569.620347, -3.19208, 1.2783 
16569.628553, -3.78844, 1.3065 
16569.636759, -4.70954, 1.2442 
16569.645810, -2.78908, 1.2993 
16569.654757, -2.45421, 1.3420 
16569.664410, -2.82098, 1.2586 
16569.818785, -2.64262, 1.5368 
16569.831400, -2.42929, 1.6452 
16569.871458, -1.46287, 1.3898 
16569.883681, -2.73983, 1.3436 
16570.617998, -2.83396, 1.2352 
16570.629039, -2.77057, 1.2802 
16570.667674, -2.82962, 1.1860 
16570.688843, -2.97634, 1.2318 
16572.613877, -3.03891, 1.1814 
16572.635891, -2.64528, 1.2510 
16572.695625, -2.73474, 1.1398 
16572.707292, -1.97440, 1.2800 
16572.738437, -1.42458, 1.2361 
16572.749062, -0.76922, 1.2172 
16573.619120, -0.72209, 1.3903 
16573.649549, -0.71219, 1.3155 
16575.581551, -0.04020, 1.2190 
16575.607106, +0.20230, 1.2027 
16577.578461, -0.76698, 1.0835 
16577.608009, -1.03871, 1.2279 
16577.617847, -1.49172, 1.2138 
16578.539780, -1.95411, 1.2764 
16578.568819, -2.18385, 1.1644 
16580.694572, -1.87794, 1.1484 
16580.714525, -0.95638, 1.1678 
16581.718194, -0.86444, 1.1323 
16581.748565, +0.36113, 1.1781 
16582.546701, +0.36904, 1.1783 
16582.574479, +0.81541, 1.1622 
16583.551528, -0.34192, 1.1518 
16583.582037, -1.40937, 1.2769 
16584.733912, -1.50856, 1.5296 
16584.749468, -2.14399, 1.8679 
16585.549525, -1.81778, 1.2178 
16585.574907, -2.01823, 1.1694 
16591.736169, -1.72708, 1.1861 
16591.761343, -1.11394, 1.3059 
16592.538322, -1.20697, 1.2343 
16592.565521, -1.29176, 1.1666 
16594.518194, -1.36737, 1.1746 
16594.635150, -1.87014, 1.2513 
16595.526690, -2.33646, 1.1029 
16595.637604, -2.46458, 1.8494 
16600.514294, -2.06887, 1.2322 
16600.539676, -1.75352, 1.1468 
16601.515498, -2.20768, 1.2506 
16601.541620, -2.96556, 1.1651 
16603.524201, -2.85259, 1.1821 
16603.552431, -2.69039, 1.2216 
16604.529896, -3.20085, 1.2342 
16604.556794, -3.94084, 1.1441 
16606.575127, -3.43835, 1.2795 
16606.608657, -2.60926, 1.5125 
16607.524780, -1.52075, 1.2068 
16607.656227, -1.55424, 1.2176 
16609.525891, -0.80141, 1.2116 
16609.647535, +0.60534, 1.2676 
16610.528218, +0.85793, 1.2806 
16611.693681, +1.05341, 1.3755 
16611.771586, +0.48839, 1.7914 
16612.511586, +0.60902, 1.1830 
16612.538426, -0.11087, 1.3396 
16613.564942, -0.55276, 1.1818 
16613.591852, -1.47636, 1.1056 
16615.700868, -0.96772, 1.3131 
16616.546586, -1.49401, 1.3930 
16616.680683, -1.75228, 1.1709 
16618.534641, -0.92617, 1.4903 
16620.519907, -1.35140, 1.8519 
16620.550810, +0.27960, 1.3555 
16621.524317, -0.26315, 1.3101 
16621.699792, -0.80218, 1.3832 
16622.513634, -0.57415, 1.2470 
16622.542083, -0.80235, 1.2131 
16626.672755, -0.24561, 1.5631 
16626.701817, -0.34540, 1.3459 
16627.564595, +1.09038, 1.7111 
16627.596238, +2.11360, 1.8090 
16628.679711, +2.29494, 2.1770 
16630.546157, +2.29542, 1.5891 
16630.577303, +0.94616, 1.5098 
16631.661377, +1.62713, 1.9835 
16633.625278, -0.75506, 2.5863 
16633.662373, -0.50447, 2.5346 
16636.626181, -0.81429, 1.8985 
16636.665278, -0.78618, 1.9962 
16637.660058, -0.22639, 2.4538 
16639.689028, -1.92392, 2.4936 
16639.720891, -1.16067, 1.5680 
16640.623588, -1.35551, 1.8426 
16640.654560, -1.19475, 1.8196 
16641.526215, -1.68120, 1.6902 
16641.556273, -1.43445, 1.7284 
16642.612442, -1.40082, 2.0796 
16643.646319, -1.06522, 1.8005 
16643.677500, -0.64200, 2.0819 
16645.689340, -1.17193, 1.8229 
16647.640694, -0.67342, 1.9097 
16647.677025, -0.42093, 1.7956 
16648.537280, -0.12043, 1.7097 
16648.568021, -0.84047, 1.9751 
16649.639907, -2.26423, 1.8103 
16649.670208, -1.68185, 1.8160 
16655.539606, -2.26765, 1.1696 
16655.550984, -2.85213, 1.0875 
16659.634919, -3.15872, 1.0015 
16659.653530, -3.31528, 1.1100 
16662.551400, -3.43590, 1.1623 
16662.562477, -3.24357, 1.0873 
16663.530729, -2.85807, 1.2122 
16663.539884, -2.65727, 1.1757 
16664.533623, -2.77964, 1.2774 
16664.545544, -2.70070, 1.2056 
16665.533032, -1.95453, 1.0585 
16665.542546, -2.82817, 1.0589 
16666.534051, -3.21588, 1.0594 
16666.543530, -3.45520, 1.1529 
16671.527546, -4.10463, 1.1005 
16671.538576, -3.69052, 1.1592 
16672.571366, -3.87185, 1.1381 
16672.588218, -3.72162, 1.1476 
16673.552512, -4.10757, 1.1474 
16673.570139, -4.07010, 1.2109 
16674.543414, -3.54595, 1.1711 
16674.555428, -3.94876, 1.1969 
16675.532477, -3.70621, 1.1536 
16675.541100, -3.27793, 1.3508 
16676.533588, -2.61031, 1.1659 
16676.545775, -2.03634, 1.1515 
16677.533322, -1.74340, 1.0963 
16677.542488, -1.43349, 1.2112 
16678.537118, -1.84483, 1.0930 
16678.547361, -1.40639, 1.0752 
16679.528854, -1.61285, 1.1464 
16679.538912, -1.59359, 1.1595 
16680.529583, -1.14650, 1.0625 
16680.540914, -0.65821, 1.0591 
16681.523542, +0.12525, 1.1339 
16681.534514, -0.17768, 1.1592 
16687.522546, +0.21222, 1.1544 
16687.538171, +0.48185, 1.1387 
16688.531910, +0.58845, 1.0901 
16688.550093, +0.83321, 1.1057 
16689.536424, +1.05208, 1.1022 
16689.546389, +1.31662, 1.0834 
16690.538634, +2.30599, 1.0674 
16690.548796, +2.47351, 1.0932 
16691.531389, +2.03920, 1.0289 
16691.545775, +1.70231, 1.0586 
16692.528819, +1.29546, 1.1360 
16692.537060, +1.52558, 1.2102 
16693.533484, +0.89596, 1.1263 
16693.545694, +0.09433, 1.1023 
16695.538600, +0.80048, 1.0518 
16695.548056, +0.91911, 1.1056 
16696.528449, +1.22854, 1.1155 
16696.562130, +0.92795, 1.0856 
16697.515069, +0.36049, 1.2276 
16697.550590, +0.46300, 1.0883 
16698.526910, -0.51073, 1.0027 
16698.538993, -1.00225, 1.0418 
16699.524560, -1.77046, 0.9878 
16702.525579, -2.98291, 1.0971 
16703.525475, -3.23562, 1.0558 
16707.520243, -3.54355, 1.2247 
16708.507245, -3.21397, 1.0978 
16708.511910, -3.07429, 1.1087 
16708.516979, -3.21544, 1.1129 
16709.503032, -2.25536, 1.1858 
16709.508322, -2.12403, 1.1909 
16709.513519, -1.72889, 1.1096 
16710.506574, -1.41929, 1.0737 
16710.510856, -1.07128, 1.0313 
16710.515475, -0.63469, 1.1019 
16711.509329, -1.08410, 0.9744 
16711.515891, -0.69663, 0.9324 
16711.522743, -0.60596, 0.9926 
16712.505000, -0.96128, 1.1246 
16712.510880, -1.32196, 1.0658 
16712.517002, -1.24720, 1.0782 
16713.510845, -0.64064, 1.0121 
16713.521250, -0.73791, 0.9463 
16713.531701, -0.70561, 0.9749 
16714.506319, -0.51725, 1.0669 
16714.512546, -0.71729, 1.0184 
16714.518704, -1.25346, 1.0166 
16715.508831, -2.03989, 1.0549 
16715.514549, -2.27224, 1.1023 
16715.520660, -2.13493, 1.1678 
16827.908576, -1.52977, 1.0444 
16827.917789, -1.98438, 0.9867 
16829.878484, -2.21514, 1.0650 
16829.887234, -1.87203, 1.0491 
16830.965764, -2.00293, 1.1313 
16830.977130, -2.32780, 2.7798 
16831.861667, -3.18955, 1.1793 
16831.872975, -2.39679, 1.1116 
16832.858796, -1.67491, 1.0416 
16832.871597, -1.18940, 0.9732 
16835.884074, -1.12360, 0.9294 
16835.896806, -1.21825, 0.9674 
16836.863912, -1.67532, 1.0631 
16836.878183, -1.91856, 1.0683 
16837.845718, -2.12833, 1.0439 
16837.856516, -2.42148, 1.0473 
16838.849850, -2.32630, 1.0013 
16838.859884, -2.12457, 0.9978 
16839.835822, -1.72165, 0.9997 
16839.852060, -1.66458, 0.9341 
16840.919456, -1.59891, 0.9576 
16840.934282, -1.49789, 1.0153 
16841.875220, -1.50105, 1.0546 
16841.896493, -1.83770, 1.0096 
16844.827118, -1.52617, 1.0018 
16844.837488, -1.51646, 0.9812 
16845.846875, -2.02405, 1.0120 
16845.855405, -1.61548, 1.0919 
16846.822083, -1.44742, 0.9793 
16846.840428, -0.93597, 0.9642 
16847.821053, -1.06988, 1.0087 
16847.831273, -0.80382, 1.0285 
16848.821019, -0.19045, 1.0547 
16848.830417, -0.79028, 1.1333 
16850.809144, -0.82929, 1.0358 
16850.820891, -1.12299, 0.9767 
16851.819271, -1.46979, 1.0426 
16851.832083, -1.82907, 1.0373 
16852.821215, -2.24985, 0.9809 
16852.834502, -1.93708, 0.9602 
16855.798970, -2.84102, 1.0412 
16855.809421, -2.98106, 1.0047 
16857.818160, -3.08280, 1.0031 
16857.828993, -3.52623, 1.0968 
16858.791979, -3.57845, 1.0115 
16858.800868, -4.47655, 1.0614 
16858.960521, -4.05069, 1.1493 
16858.971817, -4.47608, 1.2416 
16859.791586, -4.77150, 0.9387 
16859.826620, -4.47466, 0.9552 
16863.775139, -4.58432, 0.9372 
16863.787535, -4.33215, 0.9591 
16863.882801, -4.18601, 0.9381 
16863.894306, -4.06212, 0.9769 
16864.795775, -3.74938, 1.0207 
16864.806470, -3.81810, 0.9913 
16864.881481, -3.64632, 1.1296 
16864.886551, -3.40400, 1.0657 
16864.892546, -3.56925, 1.1014 
16866.891181, -3.78678, 1.0158 
16866.902870, -3.83939, 1.0965 
16867.797315, -3.65506, 1.6942 
16867.832801, -3.64638, 1.8159 
16870.751169, -3.99587, 0.9655 
16870.760787, -3.86594, 1.0609 
16872.775185, -3.52635, 1.1411 
16872.779826, -3.60420, 1.2947 
16872.784352, -3.30382, 1.1469 
16872.788866, -2.85003, 1.1020 
16872.803206, -2.04434, 1.1852 
16872.808229, -1.67945, 1.2040 
16872.813299, -1.28545, 1.1312 
16878.799618, -0.58151, 1.0283 
16878.803102, -0.52506, 1.0284 
16878.806505, -1.06137, 1.0120 
16878.810000, -2.09852, 1.0738 
16878.825532, -2.45825, 1.0853 
16878.828912, -2.78214, 1.0772 
16878.832743, -2.71970, 1.0046 
16879.807951, -2.75679, 1.1001 
16879.811562, -2.30820, 1.1273 
16879.815208, -1.78618, 1.0152 
16879.818762, -1.75514, 1.1356 
16879.837998, -1.50436, 1.0800 
16879.841690, -1.94880, 1.0171 
16879.845116, -2.22247, 0.9714 
16880.780081, -2.13260, 1.0106 
16880.784317, -2.02784, 1.0367 
16880.788461, -1.46926, 1.0014 
16880.792338, -1.57609, 1.0556 
16880.811470, -1.19052, 1.0416 
16880.815498, -1.42244, 1.0208 
16880.819259, -1.35308, 1.0876 
16881.789375, -1.36200, 1.0225 
16881.793530, -1.49228, 1.0556 
16881.797789, -1.22345, 0.9624 
16881.802442, -1.22370, 1.0002 
16881.818194, -0.41614, 1.0330 
16881.822222, -0.33799, 1.1565 
16881.826319, -0.03064, 1.1289 
16882.776725, -0.11960, 0.9936 
16882.780278, +0.16171, 1.0300 
16882.783958, -0.62014, 1.0916 
16882.787674, -1.75073, 1.0773 
16882.801042, -1.78280, 1.1590 
16882.804734, -1.89254, 1.1498 
16882.808449, -2.24280, 1.2165 
16883.838657, -3.29011, 1.1350 
16883.842755, -2.57513, 1.1760 
16883.847454, -1.77482, 1.1537 
16883.852755, -2.26783, 1.1741 
16883.869352, -2.48200, 1.0551 
16883.872928, -1.94445, 1.1562 
16883.876690, -1.53672, 1.1783 
16884.733194, -1.60127, 1.0590 
16884.736644, -1.80755, 1.0059 
16884.739931, -2.17072, 1.1124 
16884.743194, -2.12256, 1.1117 
16884.756551, -1.99862, 1.1379 
16884.760023, -1.92019, 1.0753 
16884.763299, -1.80680, 1.1119 
16885.790440, -1.84770, 1.1110 
16885.796157, -1.50032, 1.1303 
16885.801944, -1.58805, 1.1612 
16885.807523, -2.37319, 1.2659 
16885.827940, -2.46578, 1.1137 
16885.834051, -2.80090, 1.1464 
16885.839838, -2.50374, 1.2253 
16886.811146, -2.22527, 1.0810 
16886.815197, -2.13614, 1.0667 
16886.819225, -1.54148, 1.0773 
16886.823252, -1.60226, 1.1095 
16886.836713, -1.88037, 1.1290 
16886.840590, -2.74790, 1.0593 
16886.845174, -3.39015, 1.1094 
16887.787836, -3.26765, 1.2505 
16887.791516, -3.93062, 1.0752 
16887.795174, -3.81792, 1.0545 
16887.798692, -3.39760, 1.1844 
16887.827975, -2.98410, 1.1254 
16887.831169, -2.70808, 1.1157 
16887.834583, -3.13128, 1.0643 
16888.793079, -3.20377, 1.0691 
16888.796123, -3.43351, 1.1527 
16888.799109, -3.55599, 1.2399 
16888.802002, -3.74042, 1.2504 
16888.813171, -4.04918, 1.1486 
16888.816088, -3.98862, 1.1693 
16888.818924, -3.65834, 1.1649 
16891.879236, -3.39734, 1.0994 
16891.882639, -3.47116, 1.1569 
16891.885995, -3.22291, 1.0621 
16891.889213, -3.16465, 1.0934 
16891.903229, -3.28823, 1.0866 
16891.906238, -3.56327, 1.1172 
16891.909317, -4.06333, 1.1708 
16892.776863, -3.93410, 0.9748 
16892.783657, -4.15945, 1.1118 
16894.728056, -3.87136, 1.1101 
16894.738067, -3.99232, 1.0644 
16894.745972, -3.68540, 0.9925 
16894.753299, -3.50961, 1.0306 
16894.781238, -3.82244, 1.0214 
16894.789861, -3.37502, 1.0692 
16894.802824, -3.14448, 1.2089 
16895.712569, -3.07239, 1.0616 
16895.716181, -3.59658, 0.9852 
16895.719965, -3.72550, 1.0991 
16895.723854, -3.45806, 1.0245 
16895.738275, -3.51388, 1.0537 
16895.741968, -3.59913, 0.9797 
16895.745775, -3.71991, 1.0684 
16896.738588, -3.32412, 1.0043 
16896.743738, -2.71457, 1.0290 
16896.748600, -3.24538, 1.0476 
16896.753206, -3.64369, 1.0614 
16896.770162, -3.78716, 1.0323 
16896.774491, -3.64005, 1.0527 
16896.778623, -3.86943, 1.0345 
16903.674282, -4.54487, 1.1666 
16903.683565, -4.22716, 1.1595 
16903.695324, -4.06685, 1.1745 
16904.698275, -4.75859, 1.1697 
16904.702384, -4.54475, 1.1004 
16904.706343, -3.74588, 1.1839 
16904.710706, -2.87562, 1.1436 
16904.725891, -2.28564, 1.1260 
16904.729907, -1.76172, 1.0973 
16904.734213, -0.50324, 1.1212 
